"VarName","TimeString","VarValue","Validity","Time_ms"
"M_BT1","11/25/2024 2:57:02 AM",-1,1,45621122942.5463
"M_BT2","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_BT3","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_BT4","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_BT5","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_BT6","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_Valve1","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_May_Hap","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_May_Vo","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_May_Say","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_May_Sang","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_May_Dong_Goi","11/25/2024 2:57:02 AM",0,1,45621122942.5463
"M_BT1","11/25/2024 2:57:07 AM",-1,1,45621123000.7986
"M_BT2","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_BT3","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_BT4","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_BT5","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_BT6","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_Valve1","11/25/2024 2:57:07 AM",-1,1,45621123000.7986
"M_May_Hap","11/25/2024 2:57:07 AM",-1,1,45621123000.7986
"M_May_Vo","11/25/2024 2:57:07 AM",-1,1,45621123000.7986
"M_May_Say","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_May_Sang","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_May_Dong_Goi","11/25/2024 2:57:07 AM",0,1,45621123000.7986
"M_BT1","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_BT2","11/25/2024 2:57:12 AM",0,1,45621123059.0509
"M_BT3","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_BT4","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_BT5","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_BT6","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_Valve1","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_May_Hap","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_May_Vo","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_May_Say","11/25/2024 2:57:12 AM",0,1,45621123059.0509
"M_May_Sang","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_May_Dong_Goi","11/25/2024 2:57:12 AM",-1,1,45621123059.0509
"M_BT1","11/25/2024 2:57:17 AM",0,1,45621123117.3032
"M_BT2","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_BT3","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_BT4","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_BT5","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_BT6","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_Valve1","11/25/2024 2:57:17 AM",0,1,45621123117.3032
"M_May_Hap","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_May_Vo","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_May_Say","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_May_Sang","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_May_Dong_Goi","11/25/2024 2:57:17 AM",-1,1,45621123117.3032
"M_BT1","11/25/2024 2:57:22 AM",0,1,45621123175.5556
"M_BT2","11/25/2024 2:57:22 AM",-1,1,45621123175.5556
"M_BT3","11/25/2024 2:57:22 AM",0,1,45621123175.5556
"M_BT4","11/25/2024 2:57:22 AM",-1,1,45621123175.5556
"M_BT5","11/25/2024 2:57:22 AM",0,1,45621123175.5556
"M_BT6","11/25/2024 2:57:22 AM",0,1,45621123175.5556
"M_Valve1","11/25/2024 2:57:22 AM",0,1,45621123175.5556
"M_May_Hap","11/25/2024 2:57:22 AM",-1,1,45621123175.5556
"M_May_Vo","11/25/2024 2:57:22 AM",-1,1,45621123175.5556
"M_May_Say","11/25/2024 2:57:22 AM",-1,1,45621123175.5556
"M_May_Sang","11/25/2024 2:57:22 AM",0,1,45621123175.5556
"M_May_Dong_Goi","11/25/2024 2:57:22 AM",0,1,45621123175.5556
"M_BT1","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_BT2","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_BT3","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_BT4","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_BT5","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_BT6","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_Valve1","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_May_Hap","11/25/2024 2:57:27 AM",-1,1,45621123233.8079
"M_May_Vo","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_May_Say","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_May_Sang","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"M_May_Dong_Goi","11/25/2024 2:57:27 AM",0,1,45621123233.8079
"$RT_OFF$","11/25/2024 2:57:31 AM",0,2,45621123271.4005
"$RT_OFF$","11/25/2024 3:00:13 AM",0,2,45621125148.7616
"$RT_OFF$","11/25/2024 3:14:43 AM",0,2,45621135219.5833
"$RT_OFF$","11/25/2024 3:16:38 AM",0,2,45621136548.2986
"M_BT1","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_BT2","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_BT3","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_BT4","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_BT5","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_BT6","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_Valve1","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_May_Hap","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_May_Vo","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_May_Say","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_May_Sang","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_May_Dong_Goi","11/25/2024 12:03:31 PM",0,1,45621502437.9167
"M_BT1","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_BT2","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_BT3","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_BT4","11/25/2024 12:03:36 PM",-1,1,45621502496.2847
"M_BT5","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_BT6","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_Valve1","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_May_Hap","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_May_Vo","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_May_Say","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_May_Sang","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_May_Dong_Goi","11/25/2024 12:03:36 PM",0,1,45621502496.2847
"M_BT1","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_BT2","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_BT3","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_BT4","11/25/2024 12:03:41 PM",-1,1,45621502554.6065
"M_BT5","11/25/2024 12:03:41 PM",-1,1,45621502554.6065
"M_BT6","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_Valve1","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_May_Hap","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_May_Vo","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_May_Say","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_May_Sang","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_May_Dong_Goi","11/25/2024 12:03:41 PM",0,1,45621502554.6065
"M_BT1","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_BT2","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_BT3","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_BT4","11/25/2024 12:03:46 PM",-1,1,45621502612.8935
"M_BT5","11/25/2024 12:03:46 PM",-1,1,45621502612.8935
"M_BT6","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_Valve1","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_May_Hap","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_May_Vo","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_May_Say","11/25/2024 12:03:46 PM",-1,1,45621502612.8935
"M_May_Sang","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_May_Dong_Goi","11/25/2024 12:03:46 PM",0,1,45621502612.8935
"M_BT1","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_BT2","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_BT3","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_BT4","11/25/2024 12:03:51 PM",-1,1,45621502671.1806
"M_BT5","11/25/2024 12:03:51 PM",-1,1,45621502671.1806
"M_BT6","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_Valve1","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_May_Hap","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_May_Vo","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_May_Say","11/25/2024 12:03:51 PM",-1,1,45621502671.1806
"M_May_Sang","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_May_Dong_Goi","11/25/2024 12:03:51 PM",0,1,45621502671.1806
"M_BT1","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_BT2","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_BT3","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_BT4","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_BT5","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_BT6","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_Valve1","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_May_Hap","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_May_Vo","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_May_Say","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_May_Sang","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_May_Dong_Goi","11/25/2024 12:03:56 PM",0,1,45621502729.4329
"M_BT1","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_BT2","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_BT3","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_BT4","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_BT5","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_BT6","11/25/2024 12:04:01 PM",-1,1,45621502787.7546
"M_Valve1","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_May_Hap","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_May_Vo","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_May_Say","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_May_Sang","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_May_Dong_Goi","11/25/2024 12:04:01 PM",0,1,45621502787.7546
"M_BT1","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_BT2","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_BT3","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_BT4","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_BT5","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_BT6","11/25/2024 12:04:06 PM",-1,1,45621502846.0532
"M_Valve1","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_May_Hap","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_May_Vo","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_May_Say","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_May_Sang","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_May_Dong_Goi","11/25/2024 12:04:06 PM",0,1,45621502846.0532
"M_BT1","11/25/2024 12:04:11 PM",-1,1,45621502904.3287
"M_BT2","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_BT3","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_BT4","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_BT5","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_BT6","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_Valve1","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_May_Hap","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_May_Vo","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_May_Say","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_May_Sang","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_May_Dong_Goi","11/25/2024 12:04:11 PM",0,1,45621502904.3287
"M_BT1","11/25/2024 12:04:16 PM",-1,1,45621502962.581
"M_BT2","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_BT3","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_BT4","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_BT5","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_BT6","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_Valve1","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_May_Hap","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_May_Vo","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_May_Say","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_May_Sang","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_May_Dong_Goi","11/25/2024 12:04:16 PM",0,1,45621502962.581
"M_BT1","11/25/2024 12:04:21 PM",-1,1,45621503020.7986
"M_BT2","11/25/2024 12:04:21 PM",0,1,45621503020.7986
"M_BT3","11/25/2024 12:04:21 PM",0,1,45621503020.7986
"M_BT4","11/25/2024 12:04:21 PM",0,1,45621503020.7986
"M_BT5","11/25/2024 12:04:21 PM",0,1,45621503020.7986
"M_BT6","11/25/2024 12:04:21 PM",0,1,45621503020.7986
"M_Valve1","11/25/2024 12:04:21 PM",0,1,45621503020.7986
