"VarName","TimeString","VarValue","Validity","Time_ms"
"$RT_OFF$","11/25/2024 2:48:41 AM",0,2,45621117145.3356
"Act_Weight","11/25/2024 2:51:00 AM",12.4,1,45621118747.2917
"Act_Temp_Say","11/25/2024 2:51:00 AM",0,1,45621118747.2917
"Act_Temp_Hap","11/25/2024 2:51:00 AM",0,1,45621118747.2917
"Act_Weight","11/25/2024 2:51:05 AM",20.15,1,45621118805.544
"Act_Temp_Say","11/25/2024 2:51:05 AM",0,1,45621118805.544
"Act_Temp_Hap","11/25/2024 2:51:05 AM",0,1,45621118805.544
"Act_Weight","11/25/2024 2:51:10 AM",21.23,1,45621118863.7963
"Act_Temp_Say","11/25/2024 2:51:10 AM",0,1,45621118863.7963
"Act_Temp_Hap","11/25/2024 2:51:10 AM",0,1,45621118863.7963
"Act_Weight","11/25/2024 2:51:15 AM",8.43,1,45621118922.0602
"Act_Temp_Say","11/25/2024 2:51:15 AM",0,1,45621118922.0602
"Act_Temp_Hap","11/25/2024 2:51:15 AM",3.525001,1,45621118922.0602
"Act_Weight","11/25/2024 2:51:20 AM",0,1,45621118980.3125
"Act_Temp_Say","11/25/2024 2:51:20 AM",0,1,45621118980.3125
"Act_Temp_Hap","11/25/2024 2:51:20 AM",13.65,1,45621118980.3125
"Act_Weight","11/25/2024 2:51:25 AM",0,1,45621119038.5648
"Act_Temp_Say","11/25/2024 2:51:25 AM",0,1,45621119038.5648
"Act_Temp_Hap","11/25/2024 2:51:25 AM",23.10001,1,45621119038.5648
"Act_Weight","11/25/2024 2:51:30 AM",0,1,45621119096.8171
"Act_Temp_Say","11/25/2024 2:51:30 AM",0,1,45621119096.8171
"Act_Temp_Hap","11/25/2024 2:51:30 AM",24.22501,1,45621119096.8171
"Act_Weight","11/25/2024 2:51:35 AM",0,1,45621119155.0694
"Act_Temp_Say","11/25/2024 2:51:35 AM",0,1,45621119155.0694
"Act_Temp_Hap","11/25/2024 2:51:35 AM",27.22501,1,45621119155.0694
"Act_Weight","11/25/2024 2:51:40 AM",0,1,45621119213.3218
